name,value
rcp85 mid-century,75.08876038
rcp85 mid-century,75.19477844
rcp85 mid-century,75.27201843
rcp85 mid-century,75.30227661
rcp85 mid-century,75.73860168
rcp85 mid-century,74.77724457
rcp85 mid-century,75.82479095
rcp85 mid-century,76.5917511
rcp85 mid-century,76.04968262
rcp85 mid-century,75.73387909
rcp85 mid-century,76.03765106
rcp85 mid-century,75.84077454
rcp85 mid-century,76.70336914
rcp85 mid-century,74.75131226
rcp85 mid-century,76.36663818
rcp85 mid-century,77.02328491
rcp85 mid-century,76.21782684
rcp85 mid-century,76.56988525
rcp85 mid-century,75.57754517
rcp85 mid-century,77.64714813
rcp85 mid-century,75.36061859
rcp85 mid-century,77.5620575
rcp85 mid-century,75.76727295
rcp85 mid-century,78.14955139
rcp85 mid-century,75.70927429
rcp85 mid-century,76.38816834
rcp45 end-century,75.34429932
rcp45 end-century,76.64338684
rcp45 end-century,74.06736755
rcp45 end-century,75.92597961
rcp45 end-century,75.72701263
rcp45 end-century,75.46372986
rcp45 end-century,76.02803802
rcp45 end-century,76.58092499
rcp45 end-century,76.51275635
rcp45 end-century,75.45631409
rcp45 end-century,75.72640991
rcp45 end-century,76.21025085
rcp45 end-century,75.93772888
rcp45 end-century,75.65285492
rcp45 end-century,76.73001099
rcp45 end-century,75.66619873
rcp45 end-century,75.7726593
rcp45 end-century,75.90641785
rcp45 end-century,76.25430298
rcp45 end-century,76.30006409
rcp45 end-century,76.40635681
rcp45 end-century,75.81413269
rcp45 end-century,76.14828491
rcp45 end-century,75.91273499
rcp45 end-century,75.295578
rcp45 end-century,74.8184967
rcp45 end-century,76.24298096
rcp45 end-century,77.17720795
rcp45 end-century,75.02668762
rcp45 end-century,76.16003418
rcp85 end-century,77.74723816
rcp85 end-century,75.88087463
rcp85 end-century,78.4868927
rcp85 end-century,77.16171265
rcp85 end-century,78.80467224
rcp85 end-century,77.68257904
rcp85 end-century,77.47180176
rcp85 end-century,77.83815002
rcp85 end-century,78.98374939
rcp85 end-century,79.01856995
rcp85 end-century,78.49183655
rcp85 end-century,77.18412781
rcp85 end-century,78.5262146
rcp85 end-century,78.43135071
rcp85 end-century,77.92812347
rcp85 end-century,79.00132751
rcp85 end-century,77.8319397
rcp85 end-century,78.41426849
rcp85 end-century,78.86317444
rcp85 end-century,79.71252441
rcp85 end-century,79.19264984
rcp85 end-century,79.14848328
rcp85 end-century,78.20887756
rcp85 end-century,79.86199188
rcp85 end-century,79.55596924
rcp85 end-century,78.1849823
