date,Attribute,Value
2/19/2015 0:00,minTemp,10
2/20/2015 0:00,meanTemp,13
2/20/2015 0:00,maxTemp,20
2/20/2015 0:00,minTemp,5
2/21/2015 0:00,meanTemp,19
2/21/2015 0:00,maxTemp,34
2/21/2015 0:00,minTemp,4
2/22/2015 0:00,meanTemp,34
2/22/2015 0:00,maxTemp,39
2/22/2015 0:00,minTemp,28
2/23/2015 0:00,meanTemp,19
2/23/2015 0:00,maxTemp,33
2/23/2015 0:00,minTemp,4
2/24/2015 0:00,meanTemp,11
2/24/2015 0:00,maxTemp,19
2/24/2015 0:00,minTemp,2
2/25/2015 0:00,meanTemp,25
2/25/2015 0:00,maxTemp,35
2/25/2015 0:00,minTemp,14
2/26/2015 0:00,meanTemp,20
2/26/2015 0:00,maxTemp,22
2/26/2015 0:00,minTemp,17
2/27/2015 0:00,meanTemp,21
2/27/2015 0:00,maxTemp,27
2/27/2015 0:00,minTemp,15
2/28/2015 0:00,meanTemp,22
2/28/2015 0:00,maxTemp,31
2/28/2015 0:00,minTemp,12
3/1/2015 0:00,meanTemp,21
3/1/2015 0:00,maxTemp,30
3/1/2015 0:00,minTemp,12
3/2/2015 0:00,meanTemp,32
3/2/2015 0:00,maxTemp,37
3/2/2015 0:00,minTemp,26
3/3/2015 0:00,meanTemp,27
3/3/2015 0:00,maxTemp,33
3/3/2015 0:00,minTemp,20
3/4/2015 0:00,meanTemp,38
3/4/2015 0:00,maxTemp,43
3/4/2015 0:00,minTemp,33
3/5/2015 0:00,meanTemp,29
3/5/2015 0:00,maxTemp,39
3/5/2015 0:00,minTemp,18
3/6/2015 0:00,meanTemp,17
3/6/2015 0:00,maxTemp,24
3/6/2015 0:00,minTemp,9
3/7/2015 0:00,meanTemp,28
3/7/2015 0:00,maxTemp,38
3/7/2015 0:00,minTemp,17
3/8/2015 0:00,meanTemp,33
3/8/2015 0:00,maxTemp,42
3/8/2015 0:00,minTemp,24
3/9/2015 0:00,meanTemp,37
3/9/2015 0:00,maxTemp,48
3/9/2015 0:00,minTemp,26
3/10/2015 0:00,meanTemp,40
3/10/2015 0:00,maxTemp,48
3/10/2015 0:00,minTemp,31
3/11/2015 0:00,meanTemp,47
3/11/2015 0:00,maxTemp,57
3/11/2015 0:00,minTemp,37
3/12/2015 0:00,meanTemp,34
3/12/2015 0:00,maxTemp,43
3/12/2015 0:00,minTemp,25
3/13/2015 0:00,meanTemp,32
3/13/2015 0:00,maxTemp,40
3/13/2015 0:00,minTemp,24
3/14/2015 0:00,meanTemp,35
3/14/2015 0:00,maxTemp,39
3/14/2015 0:00,minTemp,31
3/15/2015 0:00,meanTemp,34
3/15/2015 0:00,maxTemp,41
3/15/2015 0:00,minTemp,27
3/16/2015 0:00,meanTemp,36
3/16/2015 0:00,maxTemp,45
3/16/2015 0:00,minTemp,26
3/17/2015 0:00,meanTemp,40
3/17/2015 0:00,maxTemp,51
3/17/2015 0:00,minTemp,28
3/18/2015 0:00,meanTemp,26
3/18/2015 0:00,maxTemp,30
3/18/2015 0:00,minTemp,22
3/19/2015 0:00,meanTemp,27
3/19/2015 0:00,maxTemp,34
3/19/2015 0:00,minTemp,19
3/20/2015 0:00,meanTemp,28
3/20/2015 0:00,maxTemp,32
3/20/2015 0:00,minTemp,23
3/21/2015 0:00,meanTemp,35
3/21/2015 0:00,maxTemp,41
3/21/2015 0:00,minTemp,28
3/22/2015 0:00,meanTemp,30
3/22/2015 0:00,maxTemp,39
3/22/2015 0:00,minTemp,21
3/23/2015 0:00,meanTemp,26
3/23/2015 0:00,maxTemp,33
3/23/2015 0:00,minTemp,18
3/24/2015 0:00,meanTemp,28
3/24/2015 0:00,maxTemp,35
3/24/2015 0:00,minTemp,20
3/25/2015 0:00,meanTemp,39
3/25/2015 0:00,maxTemp,49
3/25/2015 0:00,minTemp,28
3/26/2015 0:00,meanTemp,47
3/26/2015 0:00,maxTemp,56
3/26/2015 0:00,minTemp,38
3/27/2015 0:00,meanTemp,41
3/27/2015 0:00,maxTemp,44
3/27/2015 0:00,minTemp,37
3/28/2015 0:00,meanTemp,35
3/28/2015 0:00,maxTemp,40
3/28/2015 0:00,minTemp,30
3/29/2015 0:00,meanTemp,34
3/29/2015 0:00,maxTemp,42
3/29/2015 0:00,minTemp,26
3/30/2015 0:00,meanTemp,38
3/30/2015 0:00,maxTemp,45
3/30/2015 0:00,minTemp,30
3/31/2015 0:00,meanTemp,44
3/31/2015 0:00,maxTemp,50
3/31/2015 0:00,minTemp,37
4/1/2015 0:00,meanTemp,39
4/1/2015 0:00,maxTemp,47
4/1/2015 0:00,minTemp,30
4/2/2015 0:00,meanTemp,46
4/2/2015 0:00,maxTemp,61
4/2/2015 0:00,minTemp,30
4/3/2015 0:00,meanTemp,52
4/3/2015 0:00,maxTemp,59
4/3/2015 0:00,minTemp,45
4/4/2015 0:00,meanTemp,44
