car_type,export_production,date,value,year,month,x1,y1,x2,y2,x3,y3,x4,y4,mid1x,mid1y,mid2x,mid2y,controlPoint1x,controlPoint1y,controlPoint2x,controlPoint2y,arcNumber,coilNumber
Passenger cars,Production,2009-05-01T04:00Z,427239,2009,May,66.39528063571987,38.33333388947246,39.16666613902534,67.8386569344149,48.1666660177801,83.42711427253576,81.98373782845411,47.33333402004426,54.800775099329634,54.800775984585236,67.5286970578836,67.52869814874697,56.820576811286664,56.51555655722679,69.9821921926501,69.67717215120393,4,1
Passenger cars,Production,2009-06-01T04:00Z,478133,2009,Jun,39.16666613902534,67.8386569344149,-5.743669558289315e-7,80,-7.03599520890441e-7,98,48.1666660177801,83.42711427253576,20.489840498723773,76.46912806778934,25.14858318053886,93.85579297583408,21.396348215118355,79.01892766837123,26.213833703987433,96.99802881540027,5,1
Passenger cars,Production,2009-07-01T04:00Z,410321,2009,Jul,-5.743669558289315e-7,80,-40.83333379879761,70.72540770699322,-49.833333901389736,86.31386491588152,-7.03599520890441e-7,98,-20.921206683004808,78.07900414775264,-25.579949614478043,95.46566898890168,-21.425746179427335,80.79530444200867,-26.24323192646146,98.7744055198626,6,1
Passenger cars,Production,2009-08-01T04:00Z,325060,2009,Aug,-40.83333379879761,70.72540770699322,-72.16878389799444,41.666666234881625,-87.75724121996124,50.666666141616055,-49.833333901389736,86.31386491588152,-58.336309814366956,58.33630908141339,-71.06423195568338,71.06423106281267,-60.171560780337884,60.47658119188935,-73.33317635069128,73.63819659687655,7,1
Passenger cars,Production,2009-09-01T04:00Z,553205,2009,Sep,-72.16878389799444,41.666666234881625,-85,-4.576986679261797e-7,-103,-5.54623091722312e-7,-87.75724121996124,50.666666141616055,-81.29875716981297,21.78393583403973,-98.68542206949574,26.442678547062087,-84.01312239062872,22.734538779487984,-101.99222352901086,27.55202430062769,8,1
Passenger cars,Production,2009-10-01T04:00Z,508450,2009,Oct,-85,-4.576986679261797e-7,-75.05553478724104,-43.333333692578485,-90.64399201228342,-52.33333376719094,-103,-5.54623091722312e-7,-82.90863331016821,-22.215301792934934,-100.29529815967922,-26.8740446932009,-85.7894992267159,-22.763936510731295,-103.76860031321672,-27.581422225494784,9,1
Passenger cars,Production,2009-11-01T04:00Z,493851,2009,Nov,-75.05553478724104,-43.333333692578485,-44.16666634628216,-76.49891085259951,-53.16666628099627,-92.08736815841223,-90.64399201228342,-52.33333376719094,-61.87184307618898,-61.871843631456834,-74.59976508043357,-74.59976574992795,-64.13258558561635,-63.82756499032467,-77.2942010142273,-76.98918053705432,10,1
Passenger cars,Production,2009-12-01T05:00Z,351229,2009,Dec,-44.16666634628216,-76.49891085259951,3.2308141265377395e-7,-90,3.8769769518452874e-7,-108,-53.16666628099627,-92.08736815841223,-23.078031186693053,-86.12838626719106,-27.73677393092268,-103.51505115851187,-24.072729361785733,-89.00731710808236,-28.890214915196076,-106.98641823781762,11,1
Passenger cars,Production,2010-01-01T05:00Z,376937,2010,Jan,9.692442379613219e-7,-89.99999999999999,45.83333414077138,-79.38566154739897,54.83333429932285,-94.97411872397913,0.0000011630930855535862,-107.99999999999999,23.509397515452175,-87.73826230844155,28.168140509339946,-105.12492713286666,24.10212747589654,-90.78369384318361,28.919613287471922,-108.76279490374375,0,2
Passenger cars,Production,2010-02-01T05:00Z,450355,2010,Feb,45.83333414077138,-79.38566154739897,80.82903813327745,-46.66666589290786,96.41749548755239,-55.66666574368295,54.83333429932285,-94.97411872397913,65.40737790545283,-65.40737661405846,78.13530009245987,-78.13529854976713,67.48356967388125,-67.78858950796351,80.64518529148212,-80.95020486570323,1,2
